research_window_id,research_window_alias,requested_start,actual_start,actual_portfolio_start,end,window_role,data_quality_contract,exact_or_proxy,strategy_id,candidate_family,selection_rank,qqq_weight,sgov_weight,tqqq_weight,qqq_equivalent_exposure,cash_defensive_ratio,leveraged_asset_ratio,max_single_asset_weight,risk_bucket,annual_return,terminal_value,volatility_daily,annual_volatility,max_drawdown_daily_equity,sharpe_daily_zero_rf,calmar_daily_equity_dd,worst_1d_return,worst_5d_return,worst_20d_return,turnover,cost,net_annual_return
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.5_SGOV0.0_TQQQ0.5,second_layer_v2_static_frontier,46,0.5,0.0,0.5,2.0,0.0,0.5,0.5,,0.230962,3.026544,0.02791,0.443061,-0.63593,0.521288,0.363188,-0.119804,-0.228912,-0.299456,4.044445,0.0,0.230962
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.5_SGOV0.1_TQQQ0.4,second_layer_v2_static_frontier,47,0.5,0.1,0.4,1.7,0.1,0.4,0.5,,0.213557,2.805352,0.023645,0.37536,-0.564283,0.56894,0.378457,-0.100953,-0.195396,-0.256585,4.160569,0.0,0.213557
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.5_SGOV0.2_TQQQ0.3,second_layer_v2_static_frontier,48,0.5,0.2,0.3,1.4,0.2,0.3,0.5,,0.191838,2.547938,0.019435,0.30852,-0.483165,0.6218,0.397044,-0.082591,-0.16173,-0.213198,3.920468,0.0,0.191838
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.5_SGOV0.3_TQQQ0.2,second_layer_v2_static_frontier,49,0.5,0.3,0.2,1.1,0.3,0.2,0.5,,0.166058,2.267655,0.01527,0.242397,-0.392102,0.685068,0.423508,-0.064701,-0.127914,-0.169317,3.328782,0.0,0.166058
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.5_SGOV0.4_TQQQ0.1,second_layer_v2_static_frontier,50,0.5,0.4,0.1,0.8,0.4,0.1,0.5,,0.136491,1.977565,0.011142,0.176875,-0.292413,0.771678,0.466773,-0.047265,-0.093946,-0.124963,2.939602,0.0,0.136491
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.5_SGOV0.5_TQQQ0.0,second_layer_v2_static_frontier,51,0.5,0.5,0.0,0.5,0.5,0.0,0.5,,0.103421,1.689598,0.007049,0.111903,-0.183625,0.9242,0.563219,-0.030265,-0.059825,-0.080154,2.512828,0.0,0.103421
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.6_SGOV0.0_TQQQ0.4,second_layer_v2_static_frontier,52,0.6,0.0,0.4,1.8,0.0,0.4,0.6,,0.221814,2.908585,0.02513,0.398925,-0.588191,0.556029,0.377112,-0.107848,-0.207219,-0.27188,3.923133,0.0,0.221814
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.6_SGOV0.1_TQQQ0.3,second_layer_v2_static_frontier,53,0.6,0.1,0.3,1.5,0.1,0.3,0.6,,0.201456,2.659456,0.020899,0.331758,-0.51003,0.607238,0.394989,-0.08932,-0.173606,-0.228668,3.738748,0.0,0.201456
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.6_SGOV0.2_TQQQ0.2,second_layer_v2_static_frontier,54,0.6,0.2,0.2,1.2,0.2,0.2,0.6,,0.176942,2.382756,0.016716,0.265366,-0.422031,0.666786,0.419263,-0.071269,-0.139842,-0.184954,3.198562,0.0,0.176942
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.6_SGOV0.3_TQQQ0.1,second_layer_v2_static_frontier,55,0.6,0.3,0.1,0.9,0.3,0.1,0.6,,0.148538,2.091877,0.012575,0.199626,-0.324799,0.744079,0.457323,-0.053678,-0.105927,-0.140761,2.640958,0.0,0.148538
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.6_SGOV0.4_TQQQ0.0,second_layer_v2_static_frontier,56,0.6,0.4,0.0,0.6,0.4,0.0,0.6,,0.116526,1.799331,0.008471,0.134477,-0.218983,0.866515,0.532124,-0.036529,-0.071859,-0.096106,2.450388,0.0,0.116526
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.7_SGOV0.0_TQQQ0.3,second_layer_v2_static_frontier,57,0.7,0.0,0.3,1.6,0.0,0.3,0.7,,0.210646,2.76968,0.022371,0.355135,-0.535989,0.593145,0.393005,-0.096106,-0.185463,-0.244079,3.559566,0.0,0.210646
